Deck,Number,Percentage,True_percentage,
Eldrazi Aggro,29,7%,0.071782178,
Death's Shadow,29,7%,0.071782178,
Affinity,22,5%,0.054455446,
Red Deck Wins,22,5%,0.054455446,
Junk,13,3%,0.032178218,
Hatebear,12,3%,0.02970297,
Humans,11,3%,0.027227723,
Bant,9,2%,0.022277228,
Jund,8,2%,0.01980198,
Merfolk,6,1%,0.014851485,
Selesnya Aggro,5,1%,0.012376238,
Aura Hexproof,2,0%,0.004950495,
Zoo,2,0%,0.004950495,
5cZoo,1,0%,0.002475248,
Jeskai Aggro,1,0%,0.002475248,
Sultai Delirium,1,0%,0.002475248,
RUG Aggro,1,0%,0.002475248,
Boros,1,0%,0.002475248,
Other - Aggro,6,1%,0.014851485,
UWx Midrange,29,7%,0.071782178,
UrzaTron,22,5%,0.054455446,
UW Control,16,4%,0.03960396,
Blue Moon,12,3%,0.02970297,
Lantern Control,8,2%,0.01980198,
Smallpox,6,1%,0.014851485,
Mono Red Control,5,1%,0.012376238,
Grixis Control,5,1%,0.012376238,
Gruul Land Loss,3,1%,0.007425743,
Jeskai Nahiri,3,1%,0.007425743,
Scapeshift,2,0%,0.004950495,
Mardu Midrange,2,0%,0.004950495,
The Rock,1,0%,0.002475248,
Other - Control,6,1%,0.014851485,
Creatures Toolbox,21,5%,0.051980198,
UR Storm,20,5%,0.04950495,
Valakut,20,5%,0.04950495,
Infect,15,4%,0.037128713,
Elves,9,2%,0.022277228,
Living End,5,1%,0.012376238,
Ad Nauseam,4,1%,0.00990099,
Twin Exarch,2,0%,0.004950495,
Dredge,2,0%,0.004950495,
Genesis Wave,1,0%,0.002475248,
Bloomless Titan,1,0%,0.002475248,
Instant Reanimator,1,0%,0.002475248,
Other - Combo,2,0%,0.004950495,
